Code LPP;Libellé;Prise en charge en sus du GHS dans le public et le privé (Oui/Non);Prise en charge en sus du GHS dans le privé à but lucratif seul (Oui/Non);Date de l'arrêté;Date JO;Date d'effet de la prise en charge en sus du GHS;Date d'effet de la radiation du code
1183617.0;defibrilateur cardiaque externe portable, ist, lifevest wcd 3100, forfait;O;O;2016-01-07 00:00:00;2016-01-15 00:00:00;;2016-01-28
1183617.0;defibrilateur cardiaque externe portable, ist, lifevest wcd 3100, forfait;O;O;2011-12-07 00:00:00;2011-12-13 00:00:00;2011-12-26 00:00:00;
5175862.0;stent retriever, medtronic, solitaire ii.;O;O;2017-07-07 00:00:00;2017-07-12 00:00:00;2017-08-06 00:00:00;
3100156.0;endoprothese aortique, cook france, zenith flex, ztrack, corps bifurque;O;O;2009-07-21 00:00:00;2009-08-04 00:00:00;2009-08-17 00:00:00;
3100185.0;endoprothese coronaire,stent a lib. de sirolimus,cordis,cypher select,diam3mm;N;O;2009-07-08 00:00:00;2009-07-14 00:00:00;;2009-07-15
3100185.0;endoprothese coronaire,stent a lib. de sirolimus,cordis,cypher select,diam3mm;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3100185.0;endoprothese coronaire,stent a lib. de sirolimus,cordis,cypher select,diam3mm;O;O;2005-11-04 00:00:00;2005-11-16 00:00:00;2005-11-17 00:00:00;
3100334.0;hanche, cupule bipolaire mobile ou cupule femorale unipolaire;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3100334.0;hanche, cupule bipolaire mobile ou cupule femorale unipolaire;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3100392.0;endoprothese aortique, mf sas, talent lps x, corps bifurque + jambage;O;O;2012-07-04 00:00:00;2012-07-11 00:00:00;;2012-07-24
3100392.0;endoprothese aortique, mf sas, talent lps x, corps bifurque + jambage;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3100392.0;endoprothese aortique, mf sas, talent lps x, corps bifurque + jambage;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3100469.0;epaule, tete ou calotte seule, ceramique, bipolaire ou cupule intermediaire;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3100564.0;implant osseux, poudre, <ou= 15 cm3, injectable, synthes, norian;O;O;2015-07-01 00:00:00;2015-07-07 00:00:00;;2015-07-20
