source,target,joint_var
0,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
1,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
2,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
3,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
4,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
5,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
6,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
7,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
8,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
9,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
10,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
11,16,BEN_NIR_PSA + BEN_RNG_GEM
11,151,ETB_PRE_FIN => IDE_ETA_NU8
11,152,PFS_EXE_NUM => PFS_PFS_NUM | PFS_PRE_NUM => PFS_PFS_NUM | PRS_MTT_NUM => PFS_PFS_NUM
12,11,DCT_ORD_NUM + FLX_DIS_DTD + FLX_EMT_NUM + FLX_EMT_ORD + FLX_EMT_TYP + FLX_TRT_DTD + ORG_CLE_NUM + PRS_ORD_NUM + REM_TYP_AFF
